data_type,comparison_type,cell_type,comparison_name,comparison_side,sample_name,sample_group,new_comparison,toggle
ATAC-seq,differential,A549,REC,1,ATAC-seq_A549_REC_r1,REC,0,0
ATAC-seq,differential,A549,REC,1,ATAC-seq_A549_REC_r2,REC,0,0
ATAC-seq,differential,A549,REC,0,ATAC-seq_A549_WT_r1,WT,0,0
ATAC-seq,differential,A549,REC,0,ATAC-seq_A549_WT_r2,WT,0,0
ATAC-seq,differential,H2122,ARID1A,1,ATAC-seq_H2122_ARID1A_r1,ARID1A,0,0
ATAC-seq,differential,H2122,ARID1A,1,ATAC-seq_H2122_ARID1A_r2,ARID1A,0,0
ATAC-seq,differential,H2122,ARID1A,0,ATAC-seq_H2122_WT_r1,WT,0,0
ATAC-seq,differential,H2122,ARID1A,0,ATAC-seq_H2122_WT_r2,WT,0,0
ATAC-seq,differential,H2122,ARID1B,1,ATAC-seq_H2122_ARID1B_r1,ARID1B,0,0
ATAC-seq,differential,H2122,ARID1B,1,ATAC-seq_H2122_ARID1B_r2,ARID1B,0,0
ATAC-seq,differential,H2122,ARID1B,0,ATAC-seq_H2122_WT_r1,WT,0,0
ATAC-seq,differential,H2122,ARID1B,0,ATAC-seq_H2122_WT_r2,WT,0,0
ATAC-seq,differential,HAP1,ACTB,1,ATAC-seq_HAP1_ACTB_r1_2471_10,ACTB,0,1
ATAC-seq,differential,HAP1,ACTB,1,ATAC-seq_HAP1_ACTB_r2_2471_10,ACTB,0,1
ATAC-seq,differential,HAP1,ACTB,0,ATAC-seq_HAP1_WT_r1_C631,WT,0,1
ATAC-seq,differential,HAP1,ACTB,0,ATAC-seq_HAP1_WT_r2_C631,WT,0,1
ATAC-seq,differential,HAP1,ARID1A,1,ATAC-seq_HAP1_ARID1A_r1_618_10,ARID1A,0,1
ATAC-seq,differential,HAP1,ARID1A,1,ATAC-seq_HAP1_ARID1A_r1_618_3,ARID1A,0,1
