sample_name,flowcell,lane,BSF_name,original_name,data_source
ATAC-seq_HAP1_ACTB_r1_2471_10,BSF_0279_HG7MMBBXX,3,R1_HAP1_2471_10_S19955,R1_HAP1_2471_10,bsf
ATAC-seq_HAP1_ACTB_r2_2471_10,BSF_0279_HG7MMBBXX,7,R2_HAP1_2471_10_S19985,R2_HAP1_2471_10,bsf
ATAC-seq_HAP1_ARID1A_r1_618_10,BSF_0279_HG7MMBBXX,1,R1_HAP1_618_10_S19943,R1_HAP1_618_10,bsf
ATAC-seq_HAP1_ARID1A_r1_618_3,BSF_0279_HG7MMBBXX,1,R1_HAP1_618_3_S19942,R1_HAP1_618_3,bsf
ATAC-seq_HAP1_ARID1A_r2_618_10,BSF_0279_HG7MMBBXX,5,R2_HAP1_618_10_S19973,R2_HAP1_618_10,bsf
ATAC-seq_HAP1_ARID1A_r2_618_3,BSF_0279_HG7MMBBXX,5,R2_HAP1_618_3_S19972,R2_HAP1_618_3,bsf
ATAC-seq_HAP1_ARID1B_r1_582_7,BSF_0279_HG7MMBBXX,1,R1_HAP1_582_7_S19944,R1_HAP1_582_7,bsf
ATAC-seq_HAP1_ARID1B_r2_582_7,BSF_0279_HG7MMBBXX,5,R2_HAP1_582_7_S19974,R2_HAP1_582_7,bsf
ATAC-seq_HAP1_ARID2_r1_907_9,BSF_0279_HG7MMBBXX,1,R1_HAP1_907_9_S19945,R1_HAP1_907_9,bsf
ATAC-seq_HAP1_ARID2_r2_907_9,BSF_0279_HG7MMBBXX,5,R2_HAP1_907_9_S19975,R2_HAP1_907_9,bsf
ATAC-seq_HAP1_BCL11A_r1_2426_10,BSF_0279_HG7MMBBXX,3,R1_HAP1_2426_10_S19958,R1_HAP1_2426_10,bsf
ATAC-seq_HAP1_BCL11A_r2_2426_10,BSF_0279_HG7MMBBXX,7,R2_HAP1_2426_10_S19988,R2_HAP1_2426_10,bsf
ATAC-seq_HAP1_BCL11B_r1_2432_10,BSF_0279_HG7MMBBXX,3,R1_HAP1_2432_10_S19959,R1_HAP1_2432_10,bsf
ATAC-seq_HAP1_BCL11B_r2_2432_10,BSF_0279_HG7MMBBXX,7,R2_HAP1_2432_10_S19989,R2_HAP1_2432_10,bsf
